LocationCategoryCode	LocationCategoryLabel	DeseaseCategoryCode	DeseaseCategoryLabel
2108966855	Digestive system	1047754165	Malignant neoplasms of breast
1803734370	Genitourinary system	164118119	Benign neoplasms except of mesenchymal origin
358111161	Visual system	393047701	Other metabolic disorders
57597214	Respiratory system	2004408087	Structural developmental anomaly of heart or great vessels
57597214	Respiratory system	111658096	Respiratory diseases principally affecting the lung interstitium
2108966855	Digestive system	1237810616	Effects of foreign body entering through natural orifice
2108966855	Digestive system	1644587915	Diseases of large intestine
2079332103	Circulatory system	1833285474	Structural developmental anomalies of the circulatory system
40907641	Musculoskeletal system	1842013215	Injuries to the neck
256187719	Haematopoietic system	944754984	Neoplasms of haematopoietic or lymphoid tissues
1803734370	Genitourinary system	854539401	Cystic or dysplastic kidney disease
40907641	Musculoskeletal system	252518591	Injuries to the ankle or foot
1803734370	Genitourinary system	4407978	Certain specified diseases of urinary system
340179422	Nervous system	896961873	Disorders of the pituitary hormone system
2079332103	Circulatory system	306138025	Noninflammatory disorders of female genital tract
2079332103	Circulatory system	1060046426	Strabismus or ocular motility disorders
1803734370	Genitourinary system	585064432	Diseases of the female genital system
57597214	Respiratory system	1833285474	Structural developmental anomalies of the circulatory system
40907641	Musculoskeletal system	1397253045	Benign proliferations, neoplasms and cysts of the skin
1144883259	Walls in the Body	4407978	Certain specified diseases of urinary system
2079332103	Circulatory system	770439884	Multiple developmental anomalies or syndromes
2108966855	Digestive system	1860070272	Certain disorders involving the immune system
1474896355	Body Tissues	1167594753	Diseases or disorders of orofacial complex
340179422	Nervous system	384289569	Movement disorders
1474896355	Body Tissues	770439884	Multiple developmental anomalies or syndromes
687250607	Surface topography	1164983645	Diseases of arteries or arterioles
358111161	Visual system	750435296	Structural developmental anomalies of the eye, eyelid or lacrimal apparatus
358111161	Visual system	192916160	Benign mesenchymal neoplasms
40907641	Musculoskeletal system	375360441	Injuries to the hip or thigh
409827719	Endocrine system	192916160	Benign mesenchymal neoplasms
2079332103	Circulatory system	1427441570	Cerebral ischaemia
2079332103	Circulatory system	164118119	Benign neoplasms except of mesenchymal origin
340179422	Nervous system	1517885800	Undernutrition
2108966855	Digestive system	1511651595	Symptoms related to the lower gastrointestinal tract or abdomen
1474896355	Body Tissues	1412960686	Pyogenic bacterial infections of the skin or subcutaneous tissues
1803734370	Genitourinary system	306138025	Noninflammatory disorders of female genital tract
2079332103	Circulatory system	1842013215	Injuries to the neck
2108966855	Digestive system	911859018	Malignant neoplasms of digestive organs
340179422	Nervous system	1193296631	Diseases due to cestodes
910012423	Immune system	911859018	Malignant neoplasms of digestive organs
2108966855	Digestive system	1264914040	Diseases of stomach
1803734370	Genitourinary system	770439884	Multiple developmental anomalies or syndromes
687250607	Surface topography	1057832531	Structural developmental anomalies of the digestive tract
340179422	Nervous system	770439884	Multiple developmental anomalies or syndromes
2079332103	Circulatory system	854539401	Cystic or dysplastic kidney disease
2079332103	Circulatory system	944754984	Neoplasms of haematopoietic or lymphoid tissues
340179422	Nervous system	23958598	Disorders of cerebrospinal fluid pressure or flow
687250607	Surface topography	111033337	Malignant neoplasm metastasis in digestive system
409827719	Endocrine system	1120037543	Malignant neoplasms of endocrine glands
40907641	Musculoskeletal system	592902578	Injuries to the elbow or forearm
340179422	Nervous system	1706880799	Malignant neoplasms of skin
57597214	Respiratory system	197934298	12 Diseases of the respiratory system
340179422	Nervous system	911707612	Infections of the fetus or newborn
2079332103	Circulatory system	1008515027	Nonorgan specific systemic autoimmune disorders
57597214	Respiratory system	944754984	Neoplasms of haematopoietic or lymphoid tissues
40907641	Musculoskeletal system	215057274	Structural developmental anomalies of the nervous system
687250607	Surface topography	1784240230	Diseases of liver
340179422	Nervous system	237003158	Disorders of the adrenal glands or adrenal hormone system
2108966855	Digestive system	1193296631	Diseases due to cestodes
1474896355	Body Tissues	1965082709	Malignant mesenchymal neoplasms
40907641	Musculoskeletal system	2016483996	Injuries to the knee or lower leg
2079332103	Circulatory system	1642025150	Surgical or other medical devices, implants or grafts associated with injury or harm in therapeutic use
2079332103	Circulatory system	2004408087	Structural developmental anomaly of heart or great vessels
2108966855	Digestive system	1167594753	Diseases or disorders of orofacial complex
2079332103	Circulatory system	843843448	Cerebrovascular diseases
57597214	Respiratory system	751805133	Malignant neoplasms of female genital organs
340179422	Nervous system	1842013215	Injuries to the neck
57597214	Respiratory system	1008515027	Nonorgan specific systemic autoimmune disorders
340179422	Nervous system	724748131	Multiple sclerosis or other white matter disorders
687250607	Surface topography	121597399	Dermatoses of the anus, perianal area or perineum
2079332103	Circulatory system	1990827977	Intracranial haemorrhage
409827719	Endocrine system	962023213	Disorders of the parathyroids or parathyroid hormone system
2079332103	Circulatory system	1296696944	Pericarditis
2108966855	Digestive system	1489212950	Injuries to the abdomen, lower back, lumbar spine or pelvis
687250607	Surface topography	1965082709	Malignant mesenchymal neoplasms
340179422	Nervous system	1397253045	Benign proliferations, neoplasms and cysts of the skin
57597214	Respiratory system	1122022750	Structural developmental anomalies of the respiratory system
2108966855	Digestive system	567425990	Diseases of spleen
40907641	Musculoskeletal system	266977088	Miscellaneous specified soft tissue disorders
910012423	Immune system	1980672892	Diseases of appendix
358111161	Visual system	1174774181	Mature B-cell neoplasms
57597214	Respiratory system	1445684773	Malignant neoplasms of middle ear, respiratory or intrathoracic organs
57597214	Respiratory system	1594217552	Malignant neoplasms of ill-defined or unspecified primary sites
1803734370	Genitourinary system	1965082709	Malignant mesenchymal neoplasms
687250607	Surface topography	911859018	Malignant neoplasms of digestive organs
40907641	Musculoskeletal system	192916160	Benign mesenchymal neoplasms
409827719	Endocrine system	164118119	Benign neoplasms except of mesenchymal origin
40907641	Musculoskeletal system	1416283029	Injuries to the shoulder or upper arm
2108966855	Digestive system	1594312948	Diseases of oesophagus
40907641	Musculoskeletal system	1989556002	Conditions associated with the spine
340179422	Nervous system	1990827977	Intracranial haemorrhage
2079332103	Circulatory system	2135151223	Diseases of the myocardium or cardiac chambers
687250607	Surface topography	1167594753	Diseases or disorders of orofacial complex
2108966855	Digestive system	399094619	Structural developmental anomalies of the liver, biliary tract, pancreas or spleen
40907641	Musculoskeletal system	944754984	Neoplasms of haematopoietic or lymphoid tissues
340179422	Nervous system	1965082709	Malignant mesenchymal neoplasms
687250607	Surface topography	1971756453	Upper respiratory tract disorders
2079332103	Circulatory system	2016483996	Injuries to the knee or lower leg
2079332103	Circulatory system	396939646	Inflammatory arthropathies
40907641	Musculoskeletal system	1939815950	Mycoses
340179422	Nervous system	696932440	Disorders of the visual pathways or centres
340179422	Nervous system	733825440	Inborn errors of metabolism
358111161	Visual system	696932440	Disorders of the visual pathways or centres
1474896355	Body Tissues	2016483996	Injuries to the knee or lower leg
40907641	Musculoskeletal system	1008515027	Nonorgan specific systemic autoimmune disorders
687250607	Surface topography	306138025	Noninflammatory disorders of female genital tract
1803734370	Genitourinary system	1210263011	Renal tubulo-interstitial diseases
40907641	Musculoskeletal system	879154182	Neoplasms of central nervous system or related structures
687250607	Surface topography	452386362	Injuries to the head
340179422	Nervous system	1932345217	Diseases of the urinary system
2079332103	Circulatory system	192916160	Benign mesenchymal neoplasms
687250607	Surface topography	2016483996	Injuries to the knee or lower leg
2108966855	Digestive system	696703416	Ischaemic vascular disorders of intestine
256187719	Haematopoietic system	1174774181	Mature B-cell neoplasms
340179422	Nervous system	1585949804	Non-viral and unspecified infections of the central nervous system
40907641	Musculoskeletal system	653693669	Structural disorders of spine
1474896355	Body Tissues	192916160	Benign mesenchymal neoplasms
1803734370	Genitourinary system	1489212950	Injuries to the abdomen, lower back, lumbar spine or pelvis
57597214	Respiratory system	1619106991	Malignant neoplasm metastasis in thoracic or respiratory organs
40907641	Musculoskeletal system	653663824	Structural developmental anomalies of the skin
340179422	Nervous system	452386362	Injuries to the head
340179422	Nervous system	215057274	Structural developmental anomalies of the nervous system
2108966855	Digestive system	1193804992	Structural developmental anomalies of the diaphragm, abdominal wall or umbilical cord
40907641	Musculoskeletal system	396939646	Inflammatory arthropathies
40907641	Musculoskeletal system	647013871	Degenerative condition of spine
687250607	Surface topography	266977088	Miscellaneous specified soft tissue disorders
57597214	Respiratory system	2072728114	Tuberculosis
340179422	Nervous system	540207810	Disorders of metabolite absorption or transport
2079332103	Circulatory system	1390117811	General symptoms
2079332103	Circulatory system	1120037543	Malignant neoplasms of endocrine glands
57597214	Respiratory system	805284915	Injuries to the thorax
687250607	Surface topography	531713107	In situ neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues
256187719	Haematopoietic system	1397253045	Benign proliferations, neoplasms and cysts of the skin
2079332103	Circulatory system	1925333068	Postprocedural disorders of circulatory system
358111161	Visual system	237197715	Metabolic or nutritional disorders affecting the skin
40907641	Musculoskeletal system	1174774181	Mature B-cell neoplasms
1474896355	Body Tissues	97145147	Malignant neoplasm metastasis in other specified sites
57597214	Respiratory system	97145147	Malignant neoplasm metastasis in other specified sites
57597214	Respiratory system	425370367	Benign neoplasm of middle ear, respiratory or intrathoracic organs
2108966855	Digestive system	587365414	Diseases of gallbladder or biliary tract
2079332103	Circulatory system	1644587915	Diseases of large intestine
2079332103	Circulatory system	1523445293	Osteopathies or chondropathies
57597214	Respiratory system	1237810616	Effects of foreign body entering through natural orifice
2108966855	Digestive system	135352227	Bacterial intestinal infections
40907641	Musculoskeletal system	1121827324	Injuries to unspecified part of trunk, limb or body region
340179422	Nervous system	944754984	Neoplasms of haematopoietic or lymphoid tissues
40907641	Musculoskeletal system	747924236	Inflammation of spine
40907641	Musculoskeletal system	894625870	Structural developmental anomalies of the skeleton
1803734370	Genitourinary system	1894406676	Malignant neoplasms of male genital organs
2108966855	Digestive system	1784240230	Diseases of liver
1803734370	Genitourinary system	1746821938	Urolithiasis
57597214	Respiratory system	1047754165	Malignant neoplasms of breast
687250607	Surface topography	770439884	Multiple developmental anomalies or syndromes
2108966855	Digestive system	192916160	Benign mesenchymal neoplasms
340179422	Nervous system	359348642	Disorders of cranial nerves
340179422	Nervous system	879154182	Neoplasms of central nervous system or related structures
1474896355	Body Tissues	1174774181	Mature B-cell neoplasms
57597214	Respiratory system	1582386590	Certain lower respiratory tract diseases
